Nom-du-club;Code-du-club
JUDO AVENTURE PASSION 63;2090
ECOLE DE JUDO CLERMONT JEUNES;9990
ECOLE DE JUDO CLERMONT JEUNES;9990
AS MONTFERRANDAISE;2053
AL CROIX DE NEYRAT;2084
ASS. ARVERNE DE KYUDO;11328
CLERMONT UNIV.CLUB;2055
CLERMONT UNIV.CLUB;2055
CLERMONT UNIV.CLUB;2055
A S MONTFERRANDAISE;2052
STADE CLERMONTOIS;2056
ECOLE DE JUDO CLERMONT JEUNES;9990
ECOLE DE JUDO CLERMONT JEUNES;9990
CLERMONT AUVERGNE JUDO;2116
CLERMONT UNIV.CLUB;2055
ECOLE DE JUDO CLERMONT JEUNES;9990
AMICALE LAIQUE BEAUMONT JUDO;7043
AMICALE LAIQUE DALLET JUDO;2115
FOYER RURAL DE BLANZAT JUDO;8262
AMICALE LAIQUE DE MEZEL JUDO;8828
F.A.L. BEAUREGARD L EVEQUE;2105
FLEPP DE COURPIERE;2075
ESPERANCE CEYRATOISE JUDO;2087
UNION JUDO 63  VAL D ARTIERE;8588
AMICALE LAIQUE DE NOTRE PAYS;2099
E.A.M. ROYAT -JUDO-;2079
JC DE CHATEL-GUYON;2093
JUDO BILLOM;10989
DOME RHONE JUDO;11431
JUDO CLUB AUBIEROIS;2114
UNION JUDO 63  VAL D ARTIERE;8588
ASS FAMILLES RURALES DE LEZOUX;10910
JUDO CLUB MOZACOIS;2071
J.C.RIOMOIS;2062
JUDO-CLUB-D-PUYS;9444
TATAMI GIBALDIPONTIN;2085
J C VICOMTOIS;2072
ECOLE JUDO PUY GUILLAUME;2098
JUDO CLUB THIERNOIS;2063
JUDO CLUB RANDAN;2117
