AMICALE LAIQUE CHAMPEIX;8850
JUDO CLUB ST GERMINOIS;2080
JUDO JUJITSU CLUB MARINGUES;11378
ARTS MARTIAUX GAZELEC GERZAT;11686
BUDO CLUB GERZATOIS;2070
GAZELEC J.CLERMONT FRD;2081
FFJEP JUDO LEMPDES;2069
JUDO JUJITSU CLUB DE PONTAUMUR;11473
AS BANQUE DE FRANCE;2067
J.C.CHAMALIEROIS;2073
JUDO CLUB MANZATOIS;2104
JC ARDOISIEN;2068
JUDO CLUB CASTELPONTIN;2097
JUDO AVENTURE PASSION 63;2090
JUDO CLUB COMBRONDE;2083
ARTS MARTIAUX SAUXILLANGES;9987
JUDO TAISO US ISSOIRE;2060
AULNAT SPORTIF JUDO;2050
JUDO CLUB DE SAYAT;6458
JUDO CLUB VOLVICOIS;2103
FLEP ROMAGNAT JUDO;2064
J.C.BASSIN CHATEAU;2051
AMICALE LAIQUE CUNLHAT JUDO;8539
JUDO CLUB AMBERT;2077
JUDO CLUB BESSARD;2108
JC ST CLEMENT DE VALORGUE;11082
CENTRE LOISIRS LE CENDRE;2096
JUDO CLUB ORCETOIS;2089
J C ELOYSIEN;2061
JUDO CLUB ENNEZAT;2058
JUDO CLUB DES MARTRES DE VEYRE;2074
JUDO CLUB DES MARTRES DE VEYRE;2074
UNION JUDO 63  VAL D ARTIERE;8588
COURNON JUDO;7922
JUDO CLUB BESSARD;2108
F.R. ORCINES JUDO;6837
JUDO CLUB D AYDAT;10055
